566.239.627-45,2-1-1923,1722,TED
363.864.931-16,23-10-1953,6688,TED
887.436.730-73,26-7-1987,9757,DOC
892.982.160-13,4-2-1952,1415,DOC
901.594.342-14,23-10-1981,1764,DOC
920.669.797-85,18-12-1909,3050,DOC
830.879.663-24,26-6-1900,2290,TED
960.711.789-49,3-6-1984,9001,TED
137.192.978-41,28-9-1953,5213,DOC
674.506.451-68,20-12-2000,6824,TED
168.569.115-76,16-3-1925,1444,DOC
180.248.464-17,27-1-1911,3502,DOC
107.918.759-91,17-5-1989,8811,DOC
215.183.921-83,17-12-1989,1751,DOC
944.296.327-97,9-9-1934,8625,TED
112.580.577-93,6-9-1929,7066,DOC
400.587.452-80,8-1-1982,7266,TED
847.300.325-16,18-7-1987,9800,DOC
746.909.427-99,3-11-1993,8722,DOC
360.284.187-36,8-5-1960,5525,DOC
571.909.442-98,15-1-1949,6407,TED
318.981.881-28,18-11-1935,6134,TED
977.216.715-32,5-6-1992,1906,DOC
602.838.438-51,23-8-2012,6957,DOC
376.106.283-87,10-12-1963,9923,TED
699.925.129-80,27-11-1985,8818,TED
195.156.590-26,3-9-1921,9790,DOC
834.873.274-46,1-2-2005,4568,TED
418.908.322-10,19-7-1992,2445,TED
245.818.233-37,26-4-1901,4151,DOC
816.757.926-56,14-4-2001,6942,DOC
428.937.395-80,24-1-1973,5109,TED
660.996.230-12,20-4-2000,6855,DOC
917.839.504-18,12-6-1926,8613,DOC
928.465.932-70,25-12-1955,5286,TED
659.677.560-52,14-2-1990,7502,TED
976.386.848-39,8-10-2013,2851,TED
668.450.968-61,8-4-1923,5044,DOC
366.958.580-83,13-6-1992,4586,DOC
650.731.319-63,23-12-2002,1765,TED
556.966.685-41,14-11-1958,5801,DOC
647.923.218-80,25-5-1957,7495,DOC
937.541.577-48,20-6-2008,8092,DOC
682.256.399-39,21-5-1998,2933,TED
842.795.803-40,11-4-1913,7529,TED
152.978.679-71,9-5-1929,4759,TED
254.437.722-47,15-6-1997,6765,DOC
467.575.516-38,1-5-1946,4473,TED
291.336.131-19,24-2-1996,7335,DOC
337.896.349-92,6-1-1991,5093,TED
309.962.166-39,14-10-1989,2984,DOC
541.474.139-86,16-3-1952,4961,TED
243.822.712-13,8-3-1947,5642,DOC
565.837.262-90,18-11-1983,4733,DOC
491.411.887-56,26-8-1961,4726,TED
636.455.787-41,12-4-1954,3092,TED
726.139.976-62,25-1-1967,5562,DOC
228.858.877-61,6-3-1966,7578,DOC
423.148.992-61,26-12-1911,5897,TED
986.916.841-70,28-12-1948,9353,TED
839.844.883-54,16-3-1956,3053,TED
601.946.598-48,16-4-1943,1018,DOC
800.105.909-38,12-2-1947,3406,TED
665.962.248-86,22-6-1927,2371,DOC
728.348.615-96,13-12-1997,5078,DOC
107.323.683-21,10-8-1928,2762,DOC
269.239.580-89,5-7-1959,6173,DOC
366.678.766-47,1-8-1923,7240,DOC
179.908.408-60,8-9-1973,7289,TED
383.561.257-24,6-11-1973,2320,DOC
593.514.336-56,25-10-1976,2311,TED
575.784.679-86,12-4-2010,2180,DOC
901.929.617-91,6-3-1922,5740,TED
765.734.680-83,28-9-1988,7870,TED
898.617.409-73,14-3-1941,1285,DOC
824.967.506-20,21-9-1961,2664,TED
136.819.714-36,20-7-2017,3408,DOC
770.140.986-53,5-1-1991,2932,DOC
205.344.267-50,1-4-1946,9253,TED
372.540.462-85,8-9-1974,2559,DOC
995.142.390-32,5-2-1976,5287,TED
489.270.563-20,5-6-1949,5566,DOC
901.339.824-62,12-11-1917,6743,DOC
898.303.183-90,8-7-1982,7905,DOC
296.431.285-32,12-12-1923,9338,TED
269.788.178-65,16-5-1916,1677,DOC
322.709.311-57,15-4-1943,5096,DOC
875.639.705-74,14-11-1999,2801,TED
301.121.778-52,14-8-1956,4558,DOC
144.665.810-32,19-2-2011,7472,DOC
377.983.970-41,12-9-1908,4934,TED
700.319.139-50,12-5-1940,9658,TED
252.219.543-57,21-4-1968,6563,DOC
530.289.385-46,9-5-1997,4215,TED
859.861.405-88,20-4-2016,4661,DOC
479.254.245-78,5-10-1963,2862,DOC
